term,pos,comment,is_case_sensitive,en,comment_en
[་ -བྱང་ཆུབ་ སེམས་དཔའ་ -འི་ ཚུལ་ཁྲིམས་ ཀྱི་ སྡོམ་པ་ ]་ -ཡང་དག་པ་ -ར་ བླང་བ,,term-[bodhisattvaśīlasaṃvara]samādāna,yes,Teachings on the ceremony of taking [the vows of the bodhisattva discipline],
ཀ་ ཆེ,,place-Kaśmīra,yes,Kaśmīra,Kashmir
ཀ་ ཏ་ མོ་ར་ ཀ་ ཏི་ ཤ,,person-Kaṭamorakatiṣya,yes,Kaṭamorakatiṣya,One of the members of a group of four monks described in the Vinaya as followers of Devadatta that attempted to create a schism in the Buddhist saṅgha.
ཀ་ ཏ་ མོ་ར་ ཀ་ ཏི་ ཤྱ,,person-Kaṭamorakatiṣya,yes,Kaṭamorakatiṣya,One of four cronies of Devadatta.
ཀ་ཏ་ཡ་ན་ ཆེན་ མོ,,person-Mahākātyāyanī,yes,Mahākātyāyanī,"‟Great Kātyāyanī,” one of the eight kātyāyanī spirits."
ཀ་ཏ་ཡ་ན་ དྲེགས་ མ,,person-Rudrakātyāyanī,yes,Rudrakātyāyanī,"‟Violent Kātyāyanī,” one of the eight kātyāyanī spirits."
ཀ་ཏ་ཡ་ན་ མཛེས་མ,,person-Śubhakātyāyanī,yes,Śubhakātyāyanī,"‟Beautiful Kātyāyanī,” one of the eight kātyāyanī spirits."
ཀ་ཏ་ཡ་ན་ མཛེས་མ,,person-Sumbha­kātyāyanī,yes,Sumbha­kātyāyanī,"‟Radiantly Beautiful Kātyāyanī,” one of the eight kātyāyanī spirits."
ཀ་ཏ་ཡ་ན་ ཞི་བ་ མ,,person-Surakātyāyanī,yes,Surakātyāyanī,"‟Divine Kātyāyanī,” one of the eight kātyāyanī spirits."
ཀ་ཏ་ཡ་ན་ རྒྱལ་བ་ -འི་ བཞིན་ ཅན་ མ,,person-Jaya­mukha­kātyāyanī,yes,Jaya­mukha­kātyāyanī,"‟Kātyāyanī Face of Victory,” one of the eight kātyāyanī spirits."
ཀ་ཏ་ཡ་ན་ རྣ་ཆ་ ཅན,,person-Kuṇḍala­kātyāyanī,yes,Kuṇḍala­kātyāyanī,"‟Kātyāyanī with Earrings,” one of the eight kātyāyanī spirits."
ཀ་ ཊུ་ ཀ,,place-Kaṭuka,yes,Kaṭuka,A land to the north of Jambudvīpa.
ཀཱ་ ཏྱཱ་ ཡ་ ན་ ཆེན་པོ,,person-Mahākātyāyana,yes,Mahākātyāyana,"One of the great śrāvakas in the maṇḍala of Mañjuśrī, probably the same one that is listed among the śrāvakas attending the delivery of the MMK."
ཀཱ་ ཏྱཱ་ ཡ་ ན,,person-Kātyāyana; Kātyāyanaputra,yes,Kātyāyana,"Son of She Who Gathers and grandson of Padmagarbha, he was a highly realized monk of Buddha Śākyamuni’s order. Also rendered here as “Kātyāyanaputra.”"
ཀཱ་ ཏྱཱ་ ཡ་ ན,,person-Kātyāyana,yes,Kātyāyana,One of the śrāvakas attending the delivery of the MMK.
ཀ་ ཏྱ་ ཡ་ ན་ -འི་ བུ་ཆེན་པོ,,person-Mahākātyāyana,yes,Mahākātyāyana,
ཀཱ་ ཏྱཱ་ ཡ་ ན་ -འི་ བུ་ཆེན་པོ,,person-Mahākātyāyana,yes,Mahākātyāyana,Name of an elder and senior disciple of Buddha Śākyamuni.
ཀཱ་ ཏྱཱ་ ཡ་ ན་ -འི་ བུ,,person-Kātyāyanaputra,yes,Kātyāyanaputra,See “Kātyāyana.”
ཀ་ ཏྱའི་ བུ་ཆེན་པོ,,person-Mahākātyāyana,yes,Mahākātyāyana,"(also Kātyāyana). Disciple of the Buddha noted for his skill in analysis of the Buddha’s discourses and, traditionally, the founder of the Abhidharma."
ཀ་ ཏྱའི་ བུ་ཆེན་པོ,,person-Mahākātyāyana,yes,Mahākātyāyana,
ཀཱ་ ཏྱཱའི་ བུ་ཆེན་པོ,,person-Mahākātyāyana,yes,Mahākātyāyana,One of the Buddha’s foremost hearer disciples.
ཀཱ་ ཏྱཱའི་ བུ་ཆེན་པོ,,person-Mahākātyāyana,yes,Mahākātyāyana,One of the ten principal pupils of the Buddha. He was renowned for his ability to understand the Buddha’s teachings. Also rendered as “Kātyāyana.”
ཀཱ་ ཏྱཱའི་ བུ་ཆེན་པོ,,person-Kātyāyana,yes,Kātyāyana,
ཀ་ ཏྱའི་ བུ་ ནོག་ཅན,,person-Kakuda Kātyāyana,yes,Kakuda Kātyāyana,One of the six philosophical extremists who lived during the time of Buddha Śākyamuni.
ཀ་ ཏྱཱའི་ བུ་ ནོག་ཅན,,person-Kakuda Kātyāyana,yes,Kakuda Kātyāyana,"One of the six tīrthika teachers contemporaneous with Śākyamuni. Also rendered here as “Kakuda, a descendant of Kātyāyana.”"
ཀཱ་ ཏྱའི་ བུ་ ནོག་ཅན,,person-Kakuda Kātyāyana,yes,Kakuda Kātyāyana,One of the six outsider teachers.
